FIPS,State,County,vaccine_intent,safty_side_effect,hesitancy,SVI,Population,House,Male,Female,MedianAge,White,Black,Native,Asian,Pacific,Other,Hispanic,NoSchool,HighSchool,GED,SomeCollegeless,SomeCollege,Associate,Bachelor,Master,Profession,Doctorate,PopPov,HousePov,PovRatio,Disability,GINI,Income,Employed,Unemployed,ArmedForce,Service,Natural,Production,Construction,Manufacturing,Wholesale,Retail,Transportation,Public,Historic_Undervaccination,Sociodemographic_Barriers,Resource_constrained_Healthcare_System,Healthcare_Accessibility_Barriers,Irregular_Care_Seeking_Behavior,CVAC,Cases,Deaths,Series_Complete_Pop_Pct,Series_Complete_12PlusPop_Pct,Series_Complete_18PlusPop_Pct,Series_Complete_65PlusPop_Pct,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65PlusPop_Pct,Metro.status,Economic.Types,democrat_share,republican_share,other_share,democrat_votes,republican_votes,other_votes,totalvotes,democrat_bin,Male_pct,Female_pct,White_pct,Black_pct,Native_pct,Asian_pct,Pacific_pct,Other_pct,Hispanic_pct,Disability_pct,Povpop_pct,Povhouse_pct,NoSchool_pct,HighSchool_pct,GED_pct,SomeCollegeless_pct,SomeCollege_pct,Associate_pct,Bachelor_pct,Master_pct,Profession_pct,Doctorate_pct,ArmedForce_pct,Employed_pct,Unmployed_pct,Service_pct,Natural_pct,Production_pct,Construction_pct,Manufacturing_pct,Wholesale_pct,Retail_pct,Transportation_pct,Public_pct
1021,Alabama,Chilton County,22.873,7.795,0.1806,0.76,44055,16927,21459,22596,38.7,36835,4041,361,195,0,1530,3457,757,11101,2247,1539,3499,2363,2440,1056,237,90,8302,3207,11908,43726,0.4719,24658,17526,1200,0,2378,3328,3845,2540,2601,705,2178,1223,821,0.46864056,0.860553964,0.678127985,0.76440624,0.847182426,0.842406877,3924,104,0.038,0.045,0.05,0.146,0.079,0.094,0.104,0.312,1,0,0.159140342,0.832988089,0.007871569,3073,16085,152,19310,0,0.487095676,0.512904324,0.836113948,0.091726251,0.008194303,0.004426285,0,0.034729316,0.078470094,0.992532062,0.18844626,0.189460625,0.017183067,0.251980479,0.051004426,0.034933606,0.079423448,0.053637499,0.055385314,0.023970037,0.005379639,0.002042901,0,0.397820906,0.027238679,0.053977982,0.075541936,0.087277267,0.057655204,0.059039837,0.016002724,0.049438202,0.027760754,0.018635796
1025,Alabama,Clarke County,11.895,8.475,0.1735,0.85,24128,9090,11403,12725,42.5,12781,11044,26,104,0,0,79,257,6190,815,879,2236,1341,1214,635,118,83,5484,2377,5662,23826,0.5158,22225,7770,1080,28,1137,1279,2071,652,1967,44,951,497,309,0.566061764,0.952562878,0.375994906,0.919134034,0.729067176,0.82362305,3446,53,0.091,0.106,0.116,0.305,0.19,0.22,0.241,0.575,0,3,0.438142368,0.557594214,0.004263418,5755,7324,56,13135,0,0.472604443,0.527395557,0.529716512,0.457725464,0.001077586,0.004310345,0,0,0.003274204,0.987483422,0.227287798,0.26149615,0.010651525,0.256548408,0.033778183,0.036430703,0.092672414,0.055578581,0.050314987,0.026317971,0.004890584,0.003439987,0.001160477,0.322032493,0.044761273,0.047123674,0.053008952,0.085833886,0.027022546,0.081523541,0.001823607,0.039414788,0.020598475,0.012806698
1027,Alabama,Clay County,11.999,12.632,0.1783,0.56,13337,5198,6438,6899,43.3,11092,2075,37,21,0,18,419,63,3074,503,485,1292,901,562,345,71,21,2342,1002,3704,13091,0.4615,23519,5527,316,0,762,573,1929,346,1654,69,736,225,240,0.374721426,0.666348297,0.47150589,0.674307545,0.818847501,0.678127985,1462,54,0.074,0.086,0.093,0.182,0.138,0.16,0.173,0.401,0,3,0.182828283,0.808225108,0.008946609,1267,5601,62,6930,0,0.482717253,0.517282747,0.83167129,0.155582215,0.002774237,0.001574567,0,0.001349629,0.031416361,0.981555072,0.17560171,0.192766449,0.004723701,0.230486616,0.037714628,0.036365,0.09687336,0.067556422,0.042138412,0.025867886,0.005323536,0.001574567,0,0.414411037,0.023693484,0.057134288,0.042963185,0.144635225,0.025942866,0.124015896,0.005173577,0.055184824,0.016870361,0.017995051
1029,Alabama,Cleburne County,15.237,10.153,0.1783,0.54,14916,5680,7309,7607,43.1,14000,410,14,3,0,198,367,165,3249,731,666,1423,598,1056,378,116,66,2531,1050,3806,14736,0.457,23142,5707,361,20,603,859,1372,715,1223,163,629,261,278,0.371856097,0.64947469,0.864374403,0.755810252,0.860553964,0.814390322,1403,41,0.078,0.092,0.101,0.261,0.118,0.139,0.153,0.389,0,0,0.093399751,0.897191089,0.00940916,675,6484,68,7227,0,0.490010727,0.509989273,0.938589434,0.027487262,0.000938589,0.000201126,0,0.013274336,0.024604452,0.987932422,0.169683561,0.184859155,0.011061947,0.217819791,0.049007777,0.04465004,0.095400912,0.040091177,0.07079646,0.025341915,0.007776884,0.004424779,0.001340842,0.382609279,0.024202199,0.040426388,0.057589166,0.091981765,0.047935103,0.081992491,0.010927863,0.042169482,0.017497989,0.018637704
1031,Alabama,Coffee County,11.973,9.234,0.1758,0.54,51662,19924,25479,26183,39.3,39118,8733,640,745,0,696,3763,391,7880,1735,2519,5970,4178,5394,2200,252,198,7670,3038,13747,50029,0.4327,27806,21907,1334,1076,3612,2777,4087,1154,2618,427,2355,1906,2089,0.29608405,0.333970073,0.434574976,0.799108564,0.803565743,0.567335244,5270,104,0.063,0.075,0.083,0.25,0.115,0.136,0.151,0.421,0,0,0.227878788,0.758653199,0.013468013,5076,16899,300,22275,0,0.493186481,0.506813519,0.757190972,0.169041075,0.012388216,0.014420657,0,0.013472185,0.072838837,0.968390693,0.148465023,0.152479422,0.007568426,0.152529906,0.033583679,0.048759243,0.115558825,0.080871821,0.104409431,0.042584492,0.00487786,0.003832604,0.020827688,0.424044752,0.025821687,0.069915992,0.053753242,0.079110371,0.022337501,0.050675545,0.008265263,0.045584762,0.036893655,0.04043591
1033,Alabama,Colbert County,25.499,14.204,0.1738,0.43,54771,21880,26284,28487,42.4,43289,8872,319,259,51,866,1557,345,12117,2623,1989,6395,2982,4492,2108,334,136,8390,3521,14797,54306,0.4467,25536,22832,1039,52,3594,2488,5219,1633,4440,542,2863,1418,862,0.198344476,0.7055078,0.336517033,0.664438077,0.64565425,0.525310411,6012,121,0.097,0.113,0.123,0.29,0.159,0.184,0.201,0.464,1,0,0.299182385,0.688625117,0.012192498,8343,19203,340,27886,0,0.479888992,0.520111008,0.790363514,0.161983531,0.00582425,0.00472878,0.00093115,0.015811287,0.028427452,0.991510106,0.153183254,0.160923218,0.006298954,0.221230213,0.047890307,0.036314838,0.116758869,0.05444487,0.082014205,0.038487521,0.006098118,0.002483066,0.000949408,0.416862938,0.018969893,0.065618667,0.045425499,0.095287652,0.029815048,0.081064797,0.009895748,0.052272188,0.025889613,0.015738256
1035,Alabama,Conecuh County,7.808,9.253,0.1735,0.81,12394,4553,6078,6316,44.8,6287,5919,25,56,0,2,84,118,4074,442,275,843,687,724,323,19,62,2161,824,2997,12349,0.4296,19769,4232,431,0,664,404,1478,235,783,113,716,366,330,0.524673671,0.917223814,0.76440624,0.908309456,0.671442216,0.886978669,1072,24,0.074,0.086,0.093,0.236,0.185,0.214,0.233,0.509,0,0,0.460487502,0.53438907,0.005123428,2966,3442,33,6441,0,0.49039858,0.50960142,0.507261578,0.477569792,0.002017105,0.004518315,0,0.000161368,0.006777473,0.996369211,0.174358561,0.180979574,0.009520736,0.328707439,0.035662417,0.022188156,0.068016782,0.055430047,0.058415362,0.026060997,0.001533,0.005002421,0,0.341455543,0.034774891,0.05357431,0.032596418,0.119251251,0.018960787,0.06317573,0.009117315,0.057769889,0.029530418,0.026625787
1037,Alabama,Coosa County,24.069,16.044,0.1806,0.53,10757,4032,5462,5295,48.4,7078,3615,9,0,0,55,109,97,2679,648,537,1190,494,709,289,48,13,1399,538,2657,10348,0.4515,23694,4202,124,29,742,567,970,437,909,83,423,312,196,0.458134352,0.76185928,0.843680357,0.455269023,0.606494747,0.714422159,903,24,0.083,0.093,0.099,0.227,0.144,0.161,0.172,0.386,0,3,0.327797043,0.662712174,0.009490783,1796,3631,52,5479,0,0.507762387,0.492237613,0.657990146,0.33606024,0.000836664,0,0,0.00511295,0.010132937,0.961978247,0.130054848,0.13343254,0.009017384,0.249047132,0.060239844,0.049920982,0.110625639,0.045923585,0.06591057,0.026866227,0.004462211,0.001208515,0.002695919,0.390629358,0.011527378,0.06897834,0.052709863,0.09017384,0.040624709,0.084503114,0.007715906,0.039323231,0.029004369,0.018220694
1039,Alabama,Covington County,11.029,7.237,0.1758,0.77,37200,14852,17986,19214,43.3,31460,5018,22,184,34,66,629,277,8138,1681,1874,3680,2565,2599,1078,204,139,6756,2766,9924,36647,0.4598,23687,14822,1352,25,2049,2211,3152,1106,2291,491,1469,1348,725,0.487424387,0.676217765,0.672397326,0.773638968,0.815982171,0.795606495,4000,107,0.064,0.075,0.082,0.201,0.116,0.135,0.148,0.349,0,0,0.156110155,0.836833046,0.007056799,2721,14586,123,17430,0,0.483494624,0.516505376,0.845698925,0.134892473,0.000591398,0.004946237,0.000913978,0.001774194,0.016908602,0.985134409,0.181612903,0.186237544,0.007446237,0.218763441,0.045188172,0.050376344,0.098924731,0.068951613,0.069865591,0.028978495,0.005483871,0.003736559,0.000672043,0.39844086,0.036344086,0.055080645,0.059435484,0.084731183,0.029731183,0.061586022,0.013198925,0.039489247,0.036236559,0.019489247
1041,Alabama,Crenshaw County,9.459,11.78,0.1758,0.69,13844,4943,6748,7096,41.7,9879,3228,97,175,9,22,110,183,3256,574,412,1172,573,1234,377,39,37,2065,809,3384,13611,0.4921,24563,5668,201,58,888,828,1274,438,1050,200,732,312,428,0.440942375,0.858962114,0.663801337,0.839541547,0.811524992,0.841451767,1473,55,0.057,0.067,0.074,0.204,0.111,0.13,0.143,0.365,0,3,0.256914009,0.735076319,0.008009672,1700,4864,53,6617,0,0.487431378,0.512568622,0.713594337,0.233169604,0.007006645,0.012640855,0.000650101,0.001589136,0.00794568,0.983169604,0.149162092,0.16366579,0.013218723,0.235192141,0.041462005,0.029760185,0.084657613,0.041389772,0.089136088,0.027232014,0.002817105,0.002672638,0.004189541,0.409419243,0.014518925,0.064143311,0.059809304,0.092025426,0.031638255,0.075845131,0.014446692,0.052874892,0.022536839,0.03091592
1043,Alabama,Cullman County,15.604,10.379,0.1805,0.52,82853,31034,40759,42094,40.8,78804,1073,234,314,0,747,3611,756,16006,3662,4534,8529,6343,5121,2251,464,168,12133,4640,21574,81979,0.4416,23468,34228,1835,15,5155,5006,7595,3487,5840,924,4690,2218,1028,0.274753263,0.554918816,0.324737345,0.553645336,0.810251512,0.512257243,9012,183,0.099,0.117,0.128,0.337,0.142,0.167,0.183,0.47,0,0,0.106998638,0.881221476,0.011779886,4478,36880,493,41851,0,0.491943563,0.508056437,0.951130315,0.012950648,0.002824279,0.003789845,0,0.009015968,0.043583214,0.989451197,0.146440081,0.149513437,0.009124594,0.193185521,0.044198762,0.054723426,0.102941354,0.076557276,0.061808263,0.0271686,0.00560028,0.002027688,0.000181044,0.413117208,0.022147659,0.062218628,0.060420262,0.091668377,0.042086587,0.070486283,0.011152282,0.056606279,0.026770304,0.012407517
1045,Alabama,Dale County,12.265,9.197,0.1768,0.76,49277,18806,24301,24976,37.3,35655,10000,386,699,4,913,3210,421,8504,2315,2649,5963,3349,4047,1688,231,112,8424,3079,12515,46283,0.4479,24645,17994,1560,2550,2779,2558,3458,1263,1956,413,3011,1920,1373,0.427252467,0.582935371,0.82425979,0.732569245,0.818529131,0.787647246,4688,107,0.106,0.126,0.138,0.313,0.172,0.204,0.223,0.463,0,3,0.2619313,0.724642821,0.013425879,5170,14303,265,19738,0,0.493150963,0.506849037,0.723562717,0.202934432,0.007833269,0.014185117,8.12E-05,0.018527914,0.065141953,0.939241431,0.170951965,0.163724343,0.00854354,0.172575441,0.046979321,0.053757331,0.121009802,0.067962741,0.082127565,0.034255332,0.004687785,0.002272866,0.05174828,0.365160217,0.031657771,0.056395479,0.051910628,0.070174727,0.025630619,0.039693975,0.008381192,0.061103557,0.038963411,0.027862897
1047,Alabama,Dallas County,15.646,12.397,0.1808,0.95,39149,15910,18039,21110,39.6,10906,27693,37,222,21,27,419,389,8195,1216,1129,4140,2909,2305,1278,175,96,11204,4247,10328,38879,0.4691,19612,14347,1782,13,2199,1259,4349,836,3723,165,1648,813,851,0.52722063,0.88283986,0.387774594,0.978669214,0.570518943,0.776822668,3428,142,0.05,0.059,0.066,0.169,0.175,0.206,0.228,0.512,0,3,0.684617107,0.309225258,0.006157635,12230,5524,110,17864,1,0.460778053,0.539221947,0.27857672,0.70737439,0.000945107,0.005670643,0.000536412,0.000689673,0.0107027,0.993103272,0.286188664,0.266939032,0.009936397,0.209328463,0.031060819,0.02883854,0.105749828,0.074305857,0.058877621,0.032644512,0.004470101,0.00245217,0.000332065,0.366471685,0.045518404,0.056170017,0.032159187,0.111088406,0.021354313,0.095098215,0.004214667,0.042095584,0.020766814,0.021737465
1049,Alabama,DeKalb County,14.86,10.527,0.1898,0.8,71310,26040,35318,35992,39.5,60924,1039,841,86,561,6136,10376,1268,12774,3657,3182,5583,4476,3727,1956,391,172,14833,5242,18349,70519,0.4723,21907,29639,1219,30,4808,3461,8824,2055,8182,667,3263,2001,1114,0.396688953,0.857688634,0.541547278,0.801973894,0.841770137,0.799108564,8510,175,0.052,0.062,0.069,0.191,0.089,0.105,0.117,0.309,0,3,0.145830495,0.843677613,0.010491893,4281,24767,308,29356,0,0.495274155,0.504725845,0.854354228,0.014570187,0.011793577,0.001206002,0.007867059,0.086046838,0.145505539,0.988907587,0.208007292,0.201305684,0.017781517,0.179133361,0.05128313,0.044622073,0.078291965,0.062768195,0.05226476,0.027429533,0.005483102,0.002412004,0.000420698,0.415635956,0.017094377,0.067423924,0.048534567,0.123741411,0.028817838,0.114738466,0.009353527,0.045757958,0.028060581,0.015621932
1051,Alabama,Elmore County,24.764,12.728,0.1685,0.54,81144,29708,39226,41918,38.7,61104,17449,214,439,0,589,2404,480,14639,3593,3343,7658,5297,9143,3696,610,611,8820,3609,21530,76190,0.4413,29052,34180,1652,534,4742,3348,5667,2279,3921,724,4100,1594,4083,0.460999682,0.207577205,0.76313276,0.510665393,0.828080229,0.600127348,9523,190,0.058,0.068,0.075,0.223,0.119,0.139,0.153,0.444,1,0,0.252668779,0.735169388,0.012161833,10367,30164,499,41030,0,0.483412205,0.516587795,0.753031647,0.215037464,0.002637287,0.005410135,0,0.007258701,0.029626343,0.938948043,0.108695652,0.121482429,0.00591541,0.18040767,0.044279306,0.041198363,0.094375431,0.06527901,0.11267623,0.045548654,0.0075175,0.007529824,0.006580893,0.421226462,0.020358868,0.058439318,0.041259982,0.069838805,0.028085872,0.048321503,0.00892241,0.050527457,0.01964409,0.050317953
1053,Alabama,Escambia County,8.731,9.853,0.1735,0.86,37057,13089,18856,18201,40,23053,11878,1479,102,55,108,865,242,9129,2179,1302,3240,1907,2112,916,115,81,7551,2984,8019,34190,0.4818,19028,12786,1579,0,2974,1375,2536,956,2071,256,1695,687,1118,0.538681948,0.94014645,0.573065903,0.795606495,0.844317096,0.861190704,3796,73,0.063,0.074,0.082,0.258,0.138,0.162,0.178,0.54,0,0,0.309113765,0.683155248,0.007730987,4918,10869,123,15910,0,0.508837736,0.491162264,0.62209569,0.320533233,0.039911488,0.002752516,0.0014842,0.002914429,0.023342418,0.922632701,0.203767169,0.227977691,0.00653048,0.246350217,0.058801306,0.035135062,0.087432874,0.051461262,0.056993281,0.024718677,0.003103327,0.002185822,0,0.345036026,0.042610033,0.080254743,0.037105,0.068435113,0.025798095,0.055886877,0.006908276,0.045740346,0.018539007,0.030169739
1055,Alabama,Etowah County,20.268,11.831,0.1797,0.66,102748,38942,49564,53184,41.4,82027,16330,581,764,24,1181,3982,1033,18608,5060,5281,12609,6532,7899,3444,968,504,17625,6741,25852,101958,0.4594,24883,42650,2499,12,7995,4074,9142,2548,8096,1024,5188,2032,2211,0.397325692,0.677809615,0.35307227,0.786055396,0.695956702,0.643744031,13427,327,0.072,0.084,0.092,0.216,0.126,0.146,0.16,0.381,1,0,0.242352497,0.744384847,0.013262655,11567,35528,633,47728,0,0.482384085,0.517615915,0.798331841,0.158932534,0.005654611,0.007435668,0.000233581,0.011494141,0.038755012,0.992311286,0.171536186,0.17310359,0.010053724,0.181103282,0.049246701,0.051397594,0.122717717,0.063573014,0.076877409,0.033518901,0.009421108,0.004905205,0.000116791,0.415093238,0.024321641,0.077811734,0.039650407,0.088974968,0.024798536,0.078794721,0.009966131,0.050492467,0.019776541,0.021518667
